id,sample,Run,shrew_zone,shrew_tran,mammal,Transect,Zone,Season,Sample_Plate,primer
G_1,B_01,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_10,B_10,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_11,B_11,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_12,B_12,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_13,B_13,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_14,B_14,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_15,B_15,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_16,B_16,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_17,B_17,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_18,B_18,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_2,B_02,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_20,B_20,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_21,B_21,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_22,B_22,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_23,B_23,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_24,B_24,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_4,B_04,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_5,B_05,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_6,B_06,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_7,B_07,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_8,B_08,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_9,B_09,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Bat,Gillet
G_E26,E26,A,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,B,Gillet
G_E29,E29,A,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,B,Gillet
G_E31,E31,A,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,B,Gillet
G_E32,E32,A,Pygmy_Edge,Pygmy_East,Pygmy,East,Edge,Summer,B,Gillet
G_E33,E33,A,GWTS_Edge,GWTS_East,GWTS,East,Edge,Summer,B,Gillet
G_E47,E47,A,GWTS_Inside,GWTS_West,GWTS,West,Inside,Winter,B,Gillet
G_FR14,FR14,A,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,A,Gillet
G_FR15,FR15,A,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,A,Gillet
G_FR16,FR16,A,Pygmy_France,Pygmy_France,Pygmy,France,France,Summer,A,Gillet
