"","kingdom","phylum","class","order","family","genus","species"
"gMOTU_14","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Molophilus","Molophilus_griseus"
"gMOTU_20","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_sp._BOLD-2016"
"gMOTU_29","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_quercusbaccarum"
"gMOTU_33","Metazoa","Arthropoda","Insecta","Trichoptera","Hydropsychidae","Hydropsyche","Hydropsyche_siltalai"
"gMOTU_39","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus_rubellus_complex_sp._B_SM-2016"
"gMOTU_40","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_parshleyi"
"gMOTU_45","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion_intermedius"
"gMOTU_51","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Austrolimnophila","Austrolimnophila_ochracea"
"gMOTU_59","Metazoa","Arthropoda","Diplopoda","Glomerida","Glomeridae","Glomeris","Glomeris_marginata"
"gMOTU_66","Metazoa","Arthropoda","Insecta","Lepidoptera","Yponomeutidae","Prays","Prays_oleae"
"gMOTU_68","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_anthracinus"
"gMOTU_69","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Phymatopus","Phymatopus_hecta"
"gMOTU_85","Metazoa","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Sericostoma","Sericostoma_personatum"
"gMOTU_88","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Pharmacis","Pharmacis_fusconebulosa"
"gMOTU_90","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_numismalis"
"gMOTU_100","Metazoa","Arthropoda","Insecta","Lepidoptera","Gelechiidae","Exoteleia","Exoteleia_dodecella"
"gMOTU_104","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Cheilotrichia","Cheilotrichia_cinerascens"
"gMOTU_107","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Hepialus","Hepialus_humuli"
"gMOTU_116","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Andricus","Andricus_curvator"
"gMOTU_117","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Hemerobius","Hemerobius_humulinus"
"gMOTU_127","Metazoa","Arthropoda","Insecta","Coleoptera","Scirtidae","Elodes","Elodes_minuta"
"gMOTU_132","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus_festivus"
"gMOTU_136","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa_pulchrina"
"gMOTU_138","Metazoa","Arthropoda","Insecta","Trichoptera","Goeridae","Silo","Silo_pallipes"
"gMOTU_145","Metazoa","Arthropoda","Insecta","Diptera","Empididae","Rhamphomyia","Rhamphomyia_sp._S12"
"gMOTU_152","Metazoa","Arthropoda","Insecta","Lepidoptera","Tortricidae","Lozotaenia","Lozotaenia_forsterana"
"gMOTU_155","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga","Scathophaga_sp._BIOUG01427-D12"
"gMOTU_159","Metazoa","Arthropoda","Insecta","Lepidoptera","Argyresthiidae","Argyresthia","Argyresthia_brockeella"
"gMOTU_162","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Anaplectoides","Anaplectoides_prasina"
"gMOTU_163","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Rhipidia","Rhipidia_maculata"
"gMOTU_164","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Pygostolus","Pygostolus_falcatus"
"gMOTU_169","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Hypomma","Hypomma_cornutum"
