"","kingdom","phylum","class","order","family","genus","species"
"gMOTU_5","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium_vulgare"
"gMOTU_6","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Haplodrassus","Haplodrassus_signifer"
"gMOTU_11","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Taranucnus","Taranucnus_setosus"
"gMOTU_13","Metazoa","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras","Deroceras_laeve"
"gMOTU_14","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Molophilus","Molophilus_griseus"
"gMOTU_30","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","Paroligolophus","Paroligolophus_agrestis"
"gMOTU_38","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus_castaneus"
"gMOTU_39","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus_rubellus_complex_sp._B_SM-2016"
"gMOTU_44","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Microplitis","Microplitis_sp._jft85"
"gMOTU_45","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion_intermedius"
"gMOTU_47","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Trochosa","Trochosa_terricola"
"gMOTU_59","Metazoa","Arthropoda","Diplopoda","Glomerida","Glomeridae","Glomeris","Glomeris_marginata"
"gMOTU_64","Metazoa","Arthropoda","Arachnida","Araneae","Mimetidae","Ero","Ero_furcata"
"gMOTU_68","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_anthracinus"
"gMOTU_69","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Phymatopus","Phymatopus_hecta"
"gMOTU_75","Metazoa","Arthropoda","Arachnida","Opiliones","Leiobunidae","Leiobunum","Leiobunum_blackwalli"
"gMOTU_89","Metazoa","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Peritrechus","Peritrechus_geniculatus"
"gMOTU_93","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Tomoceridae","Tomocerus","Tomocerus_vulgaris"
"gMOTU_98","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Satchellius","Satchellius_mammalis"
"gMOTU_132","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Lumbricus","Lumbricus_festivus"
"gMOTU_144","Metazoa","Arthropoda","Chilopoda","Geophilomorpha","Geophilidae","Geophilus","Geophilus_easoni"
"gMOTU_153","Metazoa","Arthropoda","Diplopoda","Julida","Julidae","Cylindroiulus","Cylindroiulus_latestriatus"
"gMOTU_166","Metazoa","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras","Deroceras_reticulatum"
"gMOTU_234","Metazoa","Annelida","Clitellata","Haplotaxida","Lumbricidae","Family_Lumbricidae","Family_Lumbricidae"
"gMOTU_250","Metazoa","Mollusca","Gastropoda","Stylommatophora","Oxychilidae","Oxychilus","Oxychilus_draparnaudi"
"gMOTU_299","Metazoa","Arthropoda","Insecta","Diptera","Calliphoridae","Pollenia","Pollenia_rudis"
"gMOTU_321","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion_distinctus"
"gMOTU_335","Metazoa","Arthropoda","Chilopoda","Scolopendromorpha","Cryptopidae","Cryptops","Cryptops_hortensis"
"gMOTU_459","Metazoa","Arthropoda","Collembola","Neelipleona","Neelidae","Megalothorax","Megalothorax_minimus"
"gMOTU_689","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Tachinus","Tachinus_laticollis"
"gMOTU_986","Metazoa","Arthropoda","Diplopoda","Julida","Julidae","Ophyiulus","Ophyiulus_pilosus"
"zMOTU_1","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lycophotia","Lycophotia_porphyrea"
"zMOTU_8","Metazoa","Arthropoda","Insecta","Coleoptera","Curculionidae","Caenopsis","Caenopsis_waltoni"
"zMOTU_11","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Quedius","Quedius_fuliginosus"
"zMOTU_12","Metazoa","Arthropoda","Insecta","Coleoptera","Tenebrionidae","Lagria","Lagria_hirta"
"zMOTU_17","Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Spilarctia","Spilarctia_luteum"
"zMOTU_25","Metazoa","Arthropoda","Insecta","Diptera","Lonchopteridae","Lonchoptera","Lonchoptera_lutea"
"zMOTU_30","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Gymnoscelis","Gymnoscelis_rufifasciata"
"zMOTU_31","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Micromus","Micromus_variegatus"
"zMOTU_33","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Hoplodrina","Hoplodrina_blanda"
"zMOTU_46","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Pterostichus","Pterostichus_madidus"
"zMOTU_66","Metazoa","Arthropoda","Insecta","Lepidoptera","Geometridae","Peribatodes","Peribatodes_rhomboidaria"
"zMOTU_142","Metazoa","Arthropoda","Insecta","Lepidoptera","Erebidae","Schrankia","Schrankia_costaestrigalis"
"zMOTU_240","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_paludosa"
"zMOTU_377","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Caradrina","Caradrina_fuscicornis"
"zMOTU_402","Metazoa","Arthropoda","Insecta","Lepidoptera","Pyralidae","Endotricha","Endotricha_flammealis"
"zMOTU_589","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Sideridis","Sideridis_maryx"
