"","kingdom","phylum","class","order","family","genus","species"
"gMOTU_5","Metazoa","Arthropoda","Malacostraca","Isopoda","Armadillidiidae","Armadillidium","Armadillidium_vulgare"
"gMOTU_6","Metazoa","Arthropoda","Arachnida","Araneae","Gnaphosidae","Haplodrassus","Haplodrassus_signifer"
"gMOTU_7","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Tasgius","Tasgius_compressus"
"gMOTU_8","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Nebria","Nebria_brevicollis"
"gMOTU_11","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Taranucnus","Taranucnus_setosus"
"gMOTU_13","Metazoa","Mollusca","Gastropoda","Stylommatophora","Agriolimacidae","Deroceras","Deroceras_laeve"
"gMOTU_14","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Molophilus","Molophilus_griseus"
"gMOTU_15","Metazoa","Arthropoda","Insecta","Coleoptera","Scarabaeidae","Aphodius","Melinopterus_prodromus"
"gMOTU_17","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Protapanteles","Protapanteles_fulvipes"
"gMOTU_18","Metazoa","Arthropoda","Arachnida","Trombidiformes","Eupodidae","Family_Eupodidae","Family_Eupodidae"
"gMOTU_20","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_sp._BOLD-2016"
"gMOTU_21","Metazoa","Arthropoda","Insecta","Archaeognatha","Machilidae","Dilta","Dilta_hibernica"
"gMOTU_22","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Entomobrya","Entomobrya_sp._BIOUG02130-H01"
"gMOTU_24","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Stenamma","Stenamma_debile"
"gMOTU_29","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_quercusbaccarum"
"gMOTU_30","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","Paroligolophus","Paroligolophus_agrestis"
"gMOTU_32","Metazoa","Arthropoda","Insecta","Coleoptera","Carabidae","Loricera","Loricera_pilicornis"
"gMOTU_40","Metazoa","Arthropoda","Insecta","Diptera","Tipulidae","Tipula","Tipula_parshleyi"
"gMOTU_41","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion_silvaticus"
"gMOTU_45","Metazoa","Mollusca","Gastropoda","Stylommatophora","Arionidae","Arion","Arion_intermedius"
"gMOTU_46","Metazoa","Arthropoda","Malacostraca","Isopoda","Trichoniscidae","Trichoniscus","Trichoniscus_pusillus"
"gMOTU_47","Metazoa","Arthropoda","Arachnida","Araneae","Lycosidae","Trochosa","Trochosa_terricola"
"gMOTU_51","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Austrolimnophila","Austrolimnophila_ochracea"
"gMOTU_52","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Tapinopa","Tapinopa_longidens"
"gMOTU_61","Metazoa","Arthropoda","Insecta","Hymenoptera","Formicidae","Myrmecina","Myrmecina_graminicola"
"gMOTU_62","Metazoa","Arthropoda","Arachnida","Mesostigmata","Parasitidae","Family_Parasitidae","Family_Parasitidae"
"gMOTU_63","Metazoa","Arthropoda","Arachnida","Araneae","Zoridae","Zora","Zora_spinimana"
"gMOTU_64","Metazoa","Arthropoda","Arachnida","Araneae","Mimetidae","Ero","Ero_furcata"
"gMOTU_68","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_anthracinus"
"gMOTU_69","Metazoa","Arthropoda","Insecta","Lepidoptera","Hepialidae","Phymatopus","Phymatopus_hecta"
"gMOTU_72","Metazoa","Arthropoda","Chilopoda","Lithobiomorpha","Lithobiidae","Lithobius","Lithobius_variegatus"
"gMOTU_74","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Tenuiphantes","Tenuiphantes_tenuis"
"gMOTU_75","Metazoa","Arthropoda","Arachnida","Opiliones","Leiobunidae","Leiobunum","Leiobunum_blackwalli"
"gMOTU_76","Metazoa","Arthropoda","Insecta","Diptera","Sciaridae","Prosciara","Prosciara_ungulata"
"gMOTU_80","Metazoa","Arthropoda","Arachnida","Opiliones","Phalangiidae","Oligolophus","Oligolophus_tridens"
"gMOTU_85","Metazoa","Arthropoda","Insecta","Trichoptera","Sericostomatidae","Sericostoma","Sericostoma_personatum"
"gMOTU_86","Metazoa","Arthropoda","Insecta","Coleoptera","Staphylinidae","Xantholinus","Xantholinus_gallicus"
"gMOTU_87","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Xestia","Xestia_xanthographa"
"gMOTU_89","Metazoa","Arthropoda","Insecta","Hemiptera","Rhyparochromidae","Peritrechus","Peritrechus_geniculatus"
"gMOTU_90","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Neuroterus","Neuroterus_numismalis"
"gMOTU_91","Metazoa","Arthropoda","Insecta","Diptera","Sciaridae","Family_Sciaridae","Family_Sciaridae"
"gMOTU_93","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Tomoceridae","Tomocerus","Tomocerus_vulgaris"
"gMOTU_94","Metazoa","Arthropoda","Insecta","Hemiptera","Anthocoridae","Anthocoris","Anthocoris_nemorum"
"gMOTU_96","Metazoa","Arthropoda","Malacostraca","Isopoda","Oniscidae","Oniscus","Oniscus_asellus"
"gMOTU_104","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Cheilotrichia","Cheilotrichia_cinerascens"
"gMOTU_105","Metazoa","Arthropoda","Arachnida","Araneae","Linyphiidae","Tenuiphantes","Tenuiphantes_zimmermanni"
"gMOTU_114","Metazoa","Arthropoda","Insecta","Hymenoptera","Braconidae","Meteorus","Meteorus_versicolor"
"gMOTU_116","Metazoa","Arthropoda","Insecta","Hymenoptera","Cynipidae","Andricus","Andricus_curvator"
"gMOTU_117","Metazoa","Arthropoda","Insecta","Neuroptera","Hemerobiidae","Hemerobius","Hemerobius_humulinus"
"gMOTU_125","Metazoa","Arthropoda","Insecta","Hemiptera","Pemphigidae","Thecabius","Thecabius_affinis"
"gMOTU_134","Metazoa","Arthropoda","Insecta","Hemiptera","Cicadellidae","Anoscopus","Anoscopus_albifrons"
"gMOTU_136","Metazoa","Arthropoda","Insecta","Lepidoptera","Noctuidae","Autographa","Autographa_pulchrina"
"gMOTU_155","Metazoa","Arthropoda","Insecta","Diptera","Scathophagidae","Scathophaga","Scathophaga_sp._BIOUG01427-D12"
"gMOTU_158","Metazoa","Arthropoda","Collembola","Entomobryomorpha","Entomobryidae","Orchesella","Orchesella_villosa"
"gMOTU_163","Metazoa","Arthropoda","Insecta","Diptera","Limoniidae","Rhipidia","Rhipidia_maculata"
